id,topic,summary
664,Break up,Ross and Chandler are talking about Ross breaking up with Monica. Chandler tells Ross to pick up the phone and work it out. Joey thinks Ross should swim after he eats.
665,Embryo implantation,"#Phoebe's uterus is ready for implantation. #Dr. Zane# tells #Phoebe# that #Phoebe's chances of getting a baby are 25% and #Phoebe's chances of getting a baby are 75% if #Phoebe stuffs 200 embryos in her uterus. #Alice# tells #Phoebe# that the cost of #Phoebe's attempt is $16,000."
666,A fake regatta gala,"Danny closes down Johnos, which is #Monica's favorite restaurant. #Monica and #Joey are worried about where they can eat. #Monica and #Joey decide to have a fake regatta gala."
667,Borrow something,"#Monica# and #Chandler# are looking for something old, so they borrow something from #Chandler#."
668,Shoes shopping,#Chandler# tells Monica that he's going to the gym and asks her to help him choose a pair of shoes.
669,Job interview,#Rachel tells #Barry #Rachel got a job. #Barry asks why #Barry got tanned.
670,Drunkenness,#Monica# is drunk and calls the restaurant to tell them she's not coming. #Rachel# worries about #Monica's job. #Monica# tells #Rachel# she's not just the person who needs to fluff the pillows and pay the bills.
671,A painting,#Joey# is impressed with #Joey#'s ability to memorize the Monet painting. #Ross# thinks it's impressive because #Joey# can memorize anything. #Joey# then introduces the Renaissance painting to #Ross# and says it's bumpy.
672,Read the letter,#Ross# is very disappointed because #Rachel# didn't read the letter carefully. #Rachel# asks #Ross# whether the letter does or doesn't. #Ross# says he's sure it does.
673,Marriage and divorce,Ross tells Russell that he got married again. Ross got drunk and got married to Rachel. Ross wants to annul the marriage and needs to get it annulled. Russell suggests that they should go to therapy.
674,Cross-eyed mary,"Ross, Joey, Phoebe, Chandler, and Monica are playing Cross-Eyed Mary. Phoebe tells Ross and Joey that the money is cursed and bad things will happen to he who spends it."
675,Pretty woman,#Phoebe# and #Rachel# are talking about the movie 'Pretty Woman' and they are discussing the characters. #Phoebe# thinks it's a good movie but #Rachel# thinks it's a bad movie.
676,Break up,#Ross# tells #Rachel# he has to break up with her. #Rachel# is angry and storms out.
677,Burning of the manuscript,#Joey# and #Chandler# discuss the burning of Jo's manuscript by Amy. #Joey# thinks Amy is a bad girl.
678,Ask about plans,Monica and Rachel are visiting Chandler and Frank. Monica and Rachel ask Chandler and Frank about their plans. Chandler and Frank talk about their plans to go to Time Square and pick up ninja stars.
679,A new job,Joey is excited to fight fake crime with his robot sidekick. Rachel thinks he's psyched to fight fake crime with his robot sidekick. Phoebe thinks he'll be great. Monica thinks their lover's spat will start early this month.
680,Last minute mess,#Monica# apologizes for the mess and tells #Rachel# and #Phoebe# they will have to stay at Joey's because there's only room for one. #Monica# brings them breakfast in bed.
681,Put a dog out,#Joey# tells Monica #Ross# and Rachel that #Tooty# is scared of the dark. They think they should put #Tooty# out in the hall.
682,Ross tells ben,Ross tells Ben that he may not be around sometimes and sometimes he may be away longer. Ben is amazed. Ross tells him that he'll come back like this.
683,Going to the party,Ross tells his friend that he's going to the party with his girlfriend.
684,Pay for lunch,#Chandler# and Rachel have lunch together. Rachel thinks #Chandler# paid for lunch but #Chandler# thinks they just don't pay for food anymore.
685,Money problem,#Chandler# tells #Monica# the money in the wrong hand.
686,Steam the wedding dress,#Monica# is going to steam her wedding dress. #Rachel# will do it but #Monica# is not confident. #Monica# apologizes to #Rachel# for not asking her.
687,Conference call,#Rachel# calls Tag to remind him about the conference call.
688,Porn collection,Joey tells his friend that he has a huge stack of porn.
689,Chat with Monica,Monica tells Ross that Chip Matthews called her. Ross thinks that Chip is still the most popular guy in school. Monica thinks he wants to talk about the report.
690,A tea party,#Rachel# and #Monica# are having a tea party. Phoebe makes the tea and Rachel thinks she had a contraction.
691,,
692,Apology,#Ross# apologizes for working tonight. #Rachel# doesn't mind and tells #Ross# she was worth the wait.
693,Illegal subletting,Mr. Treeger tells Joey that Monica is illegally subletting his apartment. Joey asks why he should tell him something he doesn't know.
694,Fashion advice,#Rachel tells Chandler that she found a suit that fits him.
695,A fight,Ben and Rachel are having a fight. Ben says he's sorry but Rachel doesn't want to forgive him.
696,Lying to friends,#Rachel is angry at #Joey for reading his comics in the library. #Rachel thinks #Joey lies to her and she's going to confront them.
697,Sexual intercourse,#Phoebe# invites Chandler to have sexual intercourse with her tonight.
698,Get back together,#Ross# asks #Rachel# to get back together. #Rachel# tells #Ross# she doesn't know if she wants to get back together.
699,Win the quarter,#Phoebe# wins the quarter and the security guard takes her out. She tells the guard she won't go back to the hell hole.
700,Marriage problem,Ross and Rachel are talking about their marriage. Rachel tells Ross that they can't stay married because they don't love each other. Ross agrees to divorce.
701,Holiday candy,"#Monica, #Chandler, and #Chandler's friend are making holiday candy for the neighbors."
702,Gambling luck,#Monica and #Chandler talk about their luck in gambling.
703,Childhood memories,"#Monica, #Bob, and #Joey talk about their childhood. #Bob grew up in Cleveland and #Monica grew up in Brooklyn Heights. #Joey suddenly had the feeling that he was falling."
704,A noisy party,"Chandler is yelling at Joey because he's going out with Lorraine, but Joey thinks he's making him nervous."
705,Collect donations,#Phoebe# tells #Chandler# she's going to be one of those people collecting donations. #Phoebe# says #Phoebe# will be out there spreading joy to the people.
706,Competition massage,#Monica# and #Chandler# are competing in the massage competition. #Monica# gives #Chandler# a massage and #Chandler# says it's good.
707,Move the donation bucket,#Phoebe# is complaining about the location of the donation bucket. #Phoebe# thinks the location is bad and #Phoebe# wants to move the bucket to a less high-profile spot.
708,Cleaning habits,Phoebe tells Phoebe that she and her husband think Monica likes things clean. Phoebe thinks it's obvious.
709,Game show host,Joe wants to shoot some hoops with Chandler but he can't because he's practicing for a new game show.
710,New job,Ross tells his friend that he has a new job.
711,Business expansion,Chandler tells the news reporter that the company has been growing steadily and the company is planning to expand its business.
712,Prepare for audition,Joey and Chandler help Joey prepare for the audition.
713,A headache,Julie and Ross are having a headache. Ross tells Julie to breathe and she does.
714,Increase security,#Ross# asks the librarian to increase security in the Paleontology section.
715,,
716,Defend the library,Ross wants to defend the library from the Head Librarian. #Ross# thinks the library is understaffed and the Head Librarian can't help him.
717,Second date,#Phoebe# and Rachel are talking about Ross and Rachel's second date. Rachel thinks Ross is breaking up with her and Phoebe thinks it's nothing.
718,Workplace talk,#Chip# tells #Monica# #Chip# used to work at the multiplex and #Chip# still works there. #Chip# also tells #Monica# #Chip# can get #Monica# free posters for her room.
719,Car talk,#Joey# tells #Woman# his car is nice and comfortable.
720,Play foosball,Ross tells Joey that Chandler has moved the table into Joey's room because of all the boxes. Joey asks Ross to play foosball. Ross tells Joey he survived college with Chandler.
722,A sandwich,"Joey risks his life for a sandwich. Chandler thinks it's crazy and asks Joey to choose Ross before him. Joey says he will never do that. Then, Joey shows Chandler how much he means to him."
723,Marry a girl,Ross tells Chandler and Phoebe that Monica will ask Chandler to marry her. Chandler tells Ross that he helped pick out the ring.
724,News discussion,#Monica# tells #Phoebe# about the news. #Phoebe# suggests #Monica# could be a Glen.
725,Manliness,Joey tells Phoebe about his manliness and tells Phoebe he's beginning to see what Jake was talking about.
726,Impression of a person,#Cassie# is apologizing for the disturbance at Monica's place. #Ross# thinks #Cassie# has a knack for impressions.
727,Job interview,Joey tells Chandler and Ross that he got a job as a tour guide at the museum. Ross and Rachel are surprised.
728,See naked,#Chandler# is shocked to see Kathy naked. #Chandler# thinks Kathy likes him too. #Chandler# thinks Kathy likes him because of the weird energy between them. #Chandler# thinks Kathy is smooth.
729,Love and relationship,#Bob# and #Joey# are talking about Angela. #Bob# tells #Joey# that he and Angela are pretty much in love.
730,Date suggestion,Ross suggests Joey to take a walk down fifth to the Saint Patrick's Cathedral and there is a little pastry shop that she'd love. But Ross isn't going on the date.
731,Museum tour,"Ross tells #Ross# to walk in the museum and take the right, that's the antiquities wing.

##"
732,History of the world,#Joey introduces #Ross# to the history of the world.
733,Annulment,Ross tells Rachel that everything went well with the annulment. Rachel asks Ross to go see a movie with her. Ross tells her that they're still married.
734,Be a drama critic,#Joey advises #Kate to be a drama critic because they're nothing but people who couldn't make it as actors.
735,Tell the truth,"#Ross# tells Issac #Chloe# is dating a girl. Issac tells #Ross# he and #Chloe# are the same. #Ross# thinks they're not, but Issac tells #Ross# they are."
736,Tell someone,Ross tells Emily he loves her and wants to tell her in person.
737,Ask questions,Chandler asks Monica about the book she is reading. Monica tells him it's in the living room where there is also a light.
738,Real estate section,Ross and Monica are checking out the real estate section. Ross thinks that the house is mom and dad's house. Monica is shocked because she didn't know that mom and dad are selling the house.
739,A gift,#Joey# and #Joey## Hand Twin# are given a gift. They could have their own show. #Joey# sings a song for them but #Joey# hasn't even heard the chorus.
740,Give memories,Ross tells his dad that Monica thinks he and his dad favor her. Ross and his dad decide to give her some memories. Ross takes boxes from his room and passes them off as hers.
741,Sail the boat,Rachel tells Joey she can teach him to sail if he wants.
742,Visiting parents,Ross tells Jane that he is going to visit his parents for Thanksgiving.
743,Play the game,Monica wants to play the game but Joey thinks it's over. She tells the guys that rules are good and they help control the fun.
744,Dating advice,Chandler asks Shelley for a date but she doesn't want to because she thinks he is too serious. She then tells him that he is a he.
745,Bad movie,Joey doesn't show up at the audition because Chandler doesn't give him the message. Phoebe thinks it was her and tells Chandler she was the one who didn't show up.
746,Bed safety,Chandler tells Joe that his parents told him not to jump on the bed.
747,A crush,Ross asks #Joey about a guy who has a crush on #Joey. #Joey tells Ross that #Joey has a boyfriend. #Ross feels bad for the kid.
748,Coffee drink,Rachel tells the man that the French drink coffee in the morning.
749,Shoes buying,Monica asks Chandler to choose a pair of shoes for the Chan-Chan man. Chandler picks a number and Monica buys everybody a steak dinner.
750,Waiting for someone,Richard tells #Richard# he'll be there in ten minutes.
751,Do it,Ross tells the others that they are going to do this.
752,Invitation party,Carol invites Susan to the party. Susan is happy to come and Ross is surprised.
753,A toy,Ross introduces Ben to Rachel. Ben is a toy that protects U.S. oil interests overseas.
754,Have a baby,#Monica# thinks it's stupid to wait 28 years to have a baby. #Monica# wants to have a baby by using a couple of swimmers.
755,Sell the cookies,Ross breaks Sarah's leg and asks #Girl# to sell the cookies. #Girl# tells Ross the final tallies and #Ross# is dissatisfied.
756,Platonic relationship,#Monica# tells #Richard# she's been thinking a lot about #Monica#. #Richard# thinks it's better this way. #Richard# asks #Monica# if she's sure. #Monica# answers she'll call him back.
757,Goofing around,#Monica and #Chandler are goofing around with the nurse man. #Chandler thinks #Monica is better than she thinks and #Monica thinks #Chandler is better than he thinks.
758,A broken arm,#Frank# and #Phoebe# are playing with a ball. #Phoebe# accidentally breaks #Frank#'s arm.
759,Shopping for a party,#Chandler# is shopping for a party and #Janice# asks him where the party is. #Chandler# says it's in Chelsea. #Janice# thinks he's seeing somebody behind her back and starts crying. #Chandler# thinks he's pretending he's seeing somebody.
760,Flattery,Dana tells Chandler she doesn't feel flattered by his flattery. Chandler insists she stay and tells her he is flattered.
761,Play game,"#Phoebe, Rachel and Monica are playing a game of flick. Monica flicks Rachel's back, but Rachel doesn't let Monica finish. #Phoebe and Monica start fighting."
762,Clothes and shoes,#Joey# hides #Chandler#'s clothes and tells him to wear everything he owns.
763,Guest room,Chandler apologizes for the previous conversation and Monica apologizes too. They decide to make the guest room a room for them to do something together.
764,Going to the cinema,Monica tells her friend that she is going to the cinema to watch a movie with her boyfriend.
765,Business idea,#Monica and #Chandler are discussing the idea of a new business. #Chandler thinks they should come up with it now.
766,High maintenance,#Rachel# and #Phoebe# are arguing about #Phoebe# being high maintenance.
767,Laundry song,"Rachel feels that if she can do her own laundry, she can do anything. Ross thinks that's stupid and tells her the laundry song."
768,A hot date,#Janice# and Sid have trouble with their baby because they used the kiddy size cup. #Chandler# has a hot date and #Janice# wants to help #Chandler. #Chandler# tells #Janice# to go.
769,Relationship problems,#Ross# and #Chandler# are talking about their relationship. #Ross# wants to be married again and #Chandler# wants a million dollars.
770,A fight about the TV,#Monica and #Chandler are arguing about the TV. #Monica thinks #Chandler is being unreasonable and #Chandler thinks #Monica is being unreasonable. #Chandler finally tells #Monica to turn off the TV.
771,Height discussion,"#Chandler and #Joey are talking about their height. #Joey thinks he won't be able to make himself taller, and #Chandler thinks he won't be able to make himself shorter."
772,Talk about health,"#Dr. Drake Remoray and #Rachel# talk about #Hope's brain. #Rachel# thinks #Hope will live a long, healthy life with #Dr. Drake Remoray."
773,Pick up food,"Chandler, Monica, Phoebe and Chandler's friend come to Monica's house to pick up the food."
774,Safe street,#Rachel# worries about #Stranger#'s safety. #Rachel# helps #Stranger# get a message to #Stranger#'s wife.
775,Weird places,"#Ross# tells the story of his weirdest place. #Ross# tells the story of his weirdest place in the library, the women's room on the second floor of the New York City public library, and the ride broke down in Disneyland."
776,Play over,#Phoebe# tells #Monica# #Rachel# is done with the play. #Phoebe# tells #Monica# #Rachel# is going crazy because #Phoebe# has been busy.
777,Redecorate house,Ross asks Rachel to redecorate his house. Rachel thinks he doesn't need her help. Ross says he wants to redecorate his house and Phoebe wants to help. Rachel thinks she doesn't want to come.
778,Sore siadic area,#Phoebe# helps #Rick# to massage his sore siadic area. #Phoebe# tells #Rick# how #Rick# injured the area and tells #Rick# to massage the area.
779,Leave the room,#Phoebe# tells #Phoebe# to leave the room because #Phoebe# is tired. #Phoebe# tells #Phoebe# to leave the room because #Phoebe# is tired.
780,Follower,#Phoebe# asks #Guy# why #Guy# has been following her. #Guy# tells her he sent back her letters and calls and she tells him she wouldn't return his calls.
781,Coffee house,#Vince and Phoebe are talking about the coffee house.
782,Crush on someone,Rachel tells Mark she has a crush on him but Mark doesn't do anything about it. Mark asks Rachel out.
783,Uterus for Frank and Alice,#Phoebe# is a uterus for Frank and Alice. #Phoebe# promises to keep them safe and warm until they take them home.
784,Results of tests,#Ross# and Rachel discuss the results of recent tests and the possible implications of the results.
785,Anger and anger,#Phoebe# is angry at #Man# for not being her brother. #Man# tells her that he is not her brother. #Phoebe# is shocked and angry.
786,Breast problems,#Rachel and #Joey are talking about #Rachel's breast. #Rachel thinks #Rachel's breast is not good enough and #Joey thinks #Rachel's breast is crazy.
787,Roommates,#Janine# gives #Joey# some beer and asks him to share it with her. #Joey# thinks #Janine# is hot and they have a vibe. #Joey# thinks they shouldn't continue down this road.
788,A first date,Chandler tells Monica that he is going to bed because he is tired after a long day. Monica thinks that Chandler is going to get some.
789,Talk about relationship,Katie and Joey talk about their relationship. Katie thinks Joey is making fun of her size and Joey thinks Katie is making fun of his size.
790,,
791,Future plans,"#Rachel# and Joey are talking about their plans for the future. #Rachel# is going to teach a class and take her date to a fancy restaurant. #Joey# wants to take #Rachel# out. #Rachel# is reluctant because she is pregnant, but #Joey# convinces her."
792,Tell the script,"#Rachel# tells Joey the script is good and the director is good, but #Rachel# is not an actress. #Rachel# tells #Joey# #Rachel# married Drake because Drake was keeping #Rachel#'s sister. #Rachel# tells #Joey# #Rachel# can't accept that."
793,Thanksgiving dinner,"Chandler proposes a toast to the Thanksgiving dinner that #Ross, #Rachel, and #Joey had. Chandler thinks that the Thanksgiving dinner was not so great because #Ross, #Rachel, and #Joey's family were not there."
794,Honeymoon,#Mr. Waltham and #Mr. Waltham's wife tell #Ross that #Mr. Waltham will be at the airport to pick up #Ross and #Mr. Waltham's daughter. #Mr. Waltham tells #Ross that #Mr. Waltham loves #Mr. Waltham's daughter.
795,Fell asleep,#Ross# and #Joey# are talking about the reason they fell asleep. #Joey# thinks they fell asleep because of the cold weather. #Ross# thinks they fell asleep because they were tired.
796,A bad news,Chandler tells #Ms. McKenna that he fell asleep in the meeting and only told #Ms. McKenna because he was worried about the meeting. #Ms. McKenna tells him that #Ms. McKenna won't go to Tulsa.
797,Turn in,#Fake Monica# is in Monica's apartment. Monica tells #Fake Monica# she was the one who used her credit card to buy the tickets. #Fake Monica# thanks her for turning her in.
798,Car smell,Rachel and Mindy are talking about the smell of the new car. Rachel thinks they are stupid.
799,Get a shot,#Ross# is afraid of needles and asks #Monica# to tell #Ross#'s brother that #Ross# can't get a shot. #Ross# thinks #Ross#'s brother will be scared of needles.
800,Chat with Monica,#Ross# and Monica are having a chat.
801,Squeeze hand,#Monica# asks #Ross# to be brave. #Ross# squeezes #Monica#'s hand hard and #Monica# tells #Ross# not to squeeze it so hard.
802,Sting tickets,#Ross# tells Phoebe that he got Sting tickets.
803,Love and marriage,Rachel tells Monica that she is crying because she is in love with Chandler. Monica tells Rachel that she is the kind of woman she wants. Rachel says that she wants the strength Chandler has inside.
804,Clogging the chute,Mr. Treeger tells Rachel that she's clogging up the chute and she apologizes.
805,Accidentally drop phone number,"#Ross# accidentally drops the phone number of Amanda, the girl he likes."
806,Tell someone,#Monica opens the gifts and finds her parents' gift. #Joey tells her the gift is a special thing and she'll be alone if she doesn't tell Tag. #Rachel agrees to tell him but she doesn't want to tonight. #Joey tells her she has a special bond with her.
807,Rachel's house,"#Joey# tells Rachel that if she can't have it, she can't have it."
808,Wedding preparation,"#Monica# is upset because she will be a bridesmaid and Paris will be the bride. #Chandler# tells her that there will be a wedding, they will take a moonlit walk on the Rue de la, and make love."
809,Win money,"Joey wins 500 dollars by playing a game with Chandler. Chandler wants to win his money back, but Joey is confident that he can beat Chandler."
810,Candy time,#Chandler# and #Gary# are talking about the time. #Chandler# thinks it's 4:00 AM and #Monica# tells #Chandler# it's 4:00 AM. #Chandler# asks #Monica# to put some out first thing in the morning.
811,Director's car,Joey tells Richard that the director has finished the scene. Joey asks Richard to drive his car.
812,Picking out the earrings,Monica tells Chandler she picked out the earrings for him. Chandler thinks her boyfriend has good taste.
813,Wires in the head,#Rachel# tells #Monica# that the wires in her head have come loose and she thinks the wires go downstairs. #Monica# tells #Mrs. Chatracus# that she thought the wires went downstairs.
814,Move the couch,Ross wants to move the couch but Rachel doesn't think it's a good idea. Ross insists they do it.
815,Next to each other,#Joey and Carl are next to each other in the line. They talk about what they're not gonna do.
816,Apologize,Janice apologizes to Monica for calling her a liar. Monica says she understands.
817,Find the twin,#Phoebe# tells #Chandler# she found her identical hand twin. She thinks she's talking to Richard. #Phoebe# thinks she loves #Chandler# and wants to make up.
818,A guy,#Monica# tells #Paula# that #Monica# doesn't want to let her friends meet the guy #Monica# brings home because they'll be all over him. #Paula# tells #Monica# that #Monica# should bring a guy home that #Paula# likes.
819,A secret,#Monica and Chandler are talking about their secret. Monica tells Chandler that Ross Junior threw up and Phoebe's massage place is getting fired. Chandler thinks that Monica is crazy.
820,Movie audition,Joey tells Phoebe that he got the role in the movie and tells her the director is the next next Martin Scorcese. Phoebe thinks he is joking but he is not.
821,Student teacher,#Elizabeth# and #Ross# are classmates. #Ross# thinks it's weird that #Elizabeth# is a student teacher but #Elizabeth# thinks it's great. #Ross# tells #Elizabeth# that #Ross# thinks it's great too.
822,Rejection of a job,#Phoebe# tells #Joey# some rejections. #Phoebe# tells #Joey# the zoo commercial was rejected because #Phoebe#'s not believable as a human being. #Phoebe# tells #Joey# the off-Broadway play was rejected because #Phoebe#'s pretty but dumb.
823,Maniac quit,Phoebe tells Ross that Ross' maniac has quit for her. Ross thinks it's a joke but Phoebe thinks he's still following her. Monica suggests Phoebe should follow him and see where he goes.
824,A paper,#Monica# shows #Phoebe# the paper her mom sent her.
825,Ask about health,#Joey# asks Monica how she is.
826,Movie review,Chandler and Monica are watching the movie. Chandler thinks it's good but Joey doesn't like it.
827,Mail and products,#Phoebe# brings #Monica# the mail and tells #Monica# about Fabutec. #Monica# is so excited that she wants to be a waxine girl. #Phoebe# tells #Monica# that it doesn't hurt and #Phoebe# recommends Fabutec.
828,Washing machine,#Rachel# is using the washing machine and #Ross# thinks #Rachel#'s basket is on top. #Ross# tells #Rachel# that #Ross#'s friend's machine is in the washing machine. #Rachel# thinks #Ross# is wrong.
829,Job interview,"#Phoebe# complains about the job, but #Receptionist# thinks it's a great place to work."
830,Sleep in a room,#Chandler# invites #Chandler# to sleep in her room. #Chandler# thinks her room is boring.
831,A relationship problem,Ross tells Rachel that he's tired of having a relationship with her answering machine. Rachel agrees with him but she doesn't know what to do anymore.
832,A date,Ross tells Phoebe he met a girl on the train and they had a date. Ross says she's great but she lives two and a half hours away. Chandler jokes that she's from Poughkeepsie and Joey laughs.
833,Wedding talk,"#Monica# and #Chandler# are talking about #Chandler#'s family's reaction to #Chandler#'s wedding. #Monica# thinks that #Chandler#'s family will leave, but #Chandler# thinks that it's not noise."
834,Discuss the pictures,#Phoebe# and #Rachel# discuss the pictures. #Rachel# thinks the pictures are trying to tell a story and #Rachel# would date the girl. #Monica# asks #Rachel# to pick one of #Rachel#'s friends to date.
835,Lose the game,Chandler tells Monica he lost the game to Ross. Monica tells Chandler she's sorry. Chandler tells Monica he let Ross win.
836,Play a game,"#Joey and Ross are playing a game of catch. Joey thinks Staten Island is an island, but Ross says it's an island too. They forgot about lunch and forgot about the ball."
837,Party invitation,#Phoebe# calls #Ursula# and tells her she's coming to the party.
838,Porn movie,Phoebe tells Phoebe that she's making porn movies.
839,Twin stuff,#Phoebe# is talking to #Ursula# about #Phoebe#'s twin stuff. #Phoebe# is disgusted with #Ursula# and #Phoebe# calls #Ursula# disgusting.
840,Talk about moving out,#Phoebe# and #Rachel# talk about #Phoebe# moving out. #Phoebe# tells #Rachel# #Phoebe# never lies and makes the best oatmeal cookies in the world.
841,Wedding talk,#Chandler and Monica are talking about the wedding that they were supposed to have. They were at a beautiful place but they were not ready. #Chandler thinks #Monica was trying to pressure him and he doesn't want to take this to mean anything. #Monica thinks #Chandler is not ready either.
842,Use the phone number,#Rachel# suggests to #Phoebe# to use the phone number on the speed dial to see who has more in common with the cute guy. #Phoebe# thinks #Rachel# is using it to get the last blueberry muffin.
843,Wedding costs,#Monica's parents spent the money for #Monica's wedding. #Rachel thinks #Monica and Chandler should get married in a rec center. #Rachel thinks #Monica doesn't need this rustic Italian feast and #Rachel thinks #Monica can wear off the rack.
844,Work and life,"Ross tells Dr. Geller that they work in a museum of natural history and they see division. Ross says they should shed these coats and get to know the people underneath. Ross introduces his friends, and they all have different jobs. Ross tells Dr. Geller they are all divorced and have kids."
845,Team building,Doug invites Bing to his team. Doug tells Bing that the team is about hard work and having fun.
846,Baby talk,#Phoebe# and #Chandler# talk about #Chandler#'s baby. #Phoebe# thinks it's a masculine name.
847,Phone call,"#Ross# and #Rachel# are talking about the phone call. #Ross# thinks #Rachel# hung up, but #Rachel# thinks #Ross# hung up."
848,Calling rachel,Ross calls Rachel to say everything's fine and he's happy for her. Rachel thinks Ross is over her.
849,Audition for play,#Joey# is excited to audition for the play. #Ross# thinks #Joey# is not cut out for the role and Carol thinks #Joey# looks nothing like Ben.
850,Work sick,#Chandler# tells #Monica# that #Chandler# has only two hours before #Chandler# calls in sick. #Monica# thinks that's a bit too much.
851,A broken back,Kristen tells Joey that she has to go to the hospital because she hurt her back. Joey thinks Kristen's boyfriend hurt her back. Kristen asks Joey to have dinner with her tomorrow.
852,Apologize,#Phoebe# apologizes to #Phoebe# for telling #Phoebe# under the bridge that #Phoebe# is a loser. #Phoebe# tells #Phoebe# #Phoebe# will be hard to get over.
853,Ride a bike,"Ross tells Phoebe that he'll make up for the bike theft. Phoebe is reluctant to ride the bike but Ross insists. Finally, Phoebe agrees to ride the bike."
854,Tell the truth,#Ross# tells #Mona# he was going to tell her about the baby but he was afraid to. #Joey# and #Mona# think he might be having an affair. #Ross# wants to lie down.
855,Roommate search,Joey asks #The Potential Roommate# questions about the potential roommate's behavior and asks #The Potential Roommate# to think about the answers.
856,Audition for a part,#Joey# tells #Chandler# #Joey# didn't get the part because Estelle said #Joey# didn't get it.
857,Stay with friends,Ross invites Monica and Chandler to stay with him in his apartment. Monica and Chandler are reluctant to stay because they have to catch a plane for New York. Ross tells them that he'll stay with them.
858,Sexual tension,"Joey tells Ross and Chandler that when actors are doing it off-stage, the sexual tension between them is gone. Ross and Chandler are surprised."
859,Life of a friend,#Phoebe# calls #Ursula# to ask about #Ursula#'s life. #Ursula# tells #Phoebe# that #Ursula# is getting married next week.
860,Start the conversation,#Phoebe# and #Jim# start the conversation. #Phoebe# thinks #Jim# is coming on a little strong. #Jim# tells #Phoebe# about #Jim#'s writing and #Jim#'s Ph.D.
861,Worried about mom,#Ross# and #Monica# are worried about #Mrs. Geller's health. #Ross# tells #Monica# #Mrs. Geller's hair looks different and #Monica# thinks #Mrs. Geller's health is bad. #Ross# thinks #Monica# should relax.
862,Talk nonsense,#Rachel# thinks that #Monica# is talking nonsense. #Rachel# asks #Monica# to explain what she said.
863,Pets and poses,"Ronni tells Chandler that most people want their pets to be laid out like they're sleeping, but occasionally they want their pets in a pose."
864,Tuxedo selection,#Rachel# helps Chandler to choose the tuxedo.
865,Introduce yourself,#Monica# and #Ross# introduce themselves to a stranger. #Monica# asks #Ross# how they know the bride and groom.
866,Plan the wedding,#Emily# and #Ross# are planning the wedding. #Monica# suggests #Ross# to do the wedding in any other place at any other time. #Emily# thinks it's perfect.
867,A practical joke,Ross tells Rachel that Ben learned a little trick. Rachel thinks it's mean and stupid.
868,False news,Cecilia tells Joey that it doesn't matter if it's true or not because it is not true.
869,A genius,"#Ross' friends tell him Mark is a genius and he'll become the guy Rachel complains about. #Chandler suggests #Ross' go there himself and make a few surprise visits. #Joey thinks Mark will be the guy for Rachel and #Joey and #Joey will be like 'Whoa, dude.'"
870,Party planning,"Joey and Ross talk about the party. Joey thinks it's Ross' party and wants to invite museum geeks, but Ross thinks they should invite only the dinosaur dudes."
871,Name for son,"Chandler and Joey are discussing their names for their son. Chandler thinks Chandler is funny, sophisticated, and loveable, but Joey thinks Chandler is late and he'll bring cold soda. Phoebe thinks she'll name her son The Hulk."
872,Wedding talk,#Mr. Geller# and #Mrs. Geller# are talking about Rachel's wedding. #Mrs. Geller# thinks Rachel had the chance to leave a man at the altar. #Mr. Geller# disagrees.
873,PBS telethon,#Joey# asks Phoebe to donate $200 to the PBS Telethon. Phoebe is still mad at them but she also thinks that supporting them is a good thing.
874,The bag,Joey and Chandler are talking about the bag. Joey thinks the world is ready for him and his bag. Rachel thinks there are other bags that are less controversial.
875,Room switch,#Chandler# and #Monica# switch rooms because #Chandler# thinks #Chandler#'s room is more to #Monica#'s liking. #Monica# thinks #Chandler#'s room is unacceptable to #Monica#.
876,Wake up call,Chandler wakes up Joey and calls him.
877,A party,#Phoebe# and #David# are going to #Phoebe#'s place. #Phoebe# is glad #Phoebe# is here.
878,Life and love,#Monica and #Chandler talk about #Monica's boyfriend. #Chandler thinks #Monica overreacted a little bit and some things in life are more important.
879,Ask out,#Rachel tells #Tag# she got asked out twice today.
880,Tell someone,#Rachel# tells #Tag# that #Tag# is gay. #Tag# is surprised and asks #Rachel# if #Tag# told anyone.
881,,
882,,
883,Ask a question,"#Rachel# asks #Tag# to tell her if he should say. #Tag# tells #Rachel# he'd love to ask out Phoebe, but he doesn't want to hurt her feelings."
884,Joey's late dinner,Joey tells Chandler that Casey will call him later. Chandler is upset for Joey's late dinner with Kathy. Chandler thinks that Kathy is fulfilling Joey's emotional needs. Joey thinks it's time for him to settle down.
885,Refuse to talk,#Joey and #Rachel are arguing about #Joey's refusal to talk to #Rachel's boyfriend. #Rachel is angry and #Joey is scared.
886,Watch cartoons,#Chandler# and #Rachel# want to watch cartoons on Chandler's TV. #Phoebe# tells them that they have to cut a tin can with an ordinary steak knife. #Rachel# thinks it's a waste of time. #Phoebe# tells them that they have to make enough money to help Frank and Alice.
887,Attack the ex-wife,Ross tells the instructor that he attacked his ex-wife because he couldn't.
888,Finish the game,Ross insists on finishing the game but Emily tells him that the guys will grab anything. Ross thinks Devon has a weak ankle and David doesn't wear a cup. Emily tells him that Liam's knees are bad and Ross is going to go get him.
889,Famous actor,Rachel tells Phoebe that James Brolin is a famous actor. Phoebe thinks he is gay.
890,Divorce lawyer,Rachel tells Russell Ross' divorce lawyer that Ross hasn't contacted him. Russell thinks Ross has given the marriage a try.
